Price,Open,High,Low,Close,Volume
Ticker,BMRI.JK,BMRI.JK,BMRI.JK,BMRI.JK,BMRI.JK
Date,,,,,
2016-02-16,1516.2139225886417,1520.0719732822515,1500.7817198142027,1504.6397705078125,90171200
2016-02-17,1500.7816344585615,1512.3557858811212,1493.0655335101885,1496.923583984375,103568000
2016-02-18,1508.4977170654925,1523.9299187746024,1496.92356578366,1500.7816162109375,205636800
2016-02-19,1462.2011784379201,1462.2011784379201,1419.7626218077958,1435.19482421875,381658000
2016-02-22,1423.6206002742686,1462.201104346742,1423.6206002742686,1450.626953125,122025200
2016-02-23,1427.4786376953125,1446.76888955606,1415.9044865788642,1427.4786376953125,78939200
2016-02-24,1442.9108523105053,1466.0591547539893,1431.3367010887632,1450.626953125,76399200
2016-02-25,1450.6268850536194,1458.3429855060322,1427.4785836963808,1439.052734375,59981600
2016-02-26,1446.7689695333115,1469.9172730458445,1446.7689695333115,1462.201171875,59542000
2016-02-29,1462.2009961193146,1473.775146484375,1446.7687956325672,1473.775146484375,109371200
2016-03-01,1462.2011902824281,1473.7753421844,1446.7689877464659,1458.3431396484375,75571600
2016-03-02,1473.7752143364446,1500.7815664316151,1466.0591137378246,1485.349365234375,125545600
2016-03-03,1496.923583984375,1508.4977354069347,1481.4913820876288,1496.923583984375,80812000
2016-03-04,1496.9236507952367,1508.4978027343752,1485.3494988560983,1508.497802734375,69759600
2016-03-07,1520.0719297021851,1543.220233200188,1512.3558285361842,1539.3621826171875,176466000
2016-03-08,1543.2202148437498,1547.0782653808592,1527.7880126953123,1543.22021484375,145376000
2016-03-10,1512.355739480198,1558.65234375,1512.355739480198,1558.65234375,124006000
2016-03-11,1558.65234375,1558.65234375,1558.65234375,1558.65234375,0
2016-03-14,1558.65234375,1558.65234375,1558.65234375,1558.65234375,0
2016-03-15,1581.800714066339,1581.800714066339,1566.368511977887,1570.2265625,57556000
2016-03-16,1574.084613022113,1574.084613022113,1543.2202088452088,1570.2265625,46800000
2016-03-17,1581.800645884901,1581.800645884901,1543.2201423267327,1558.65234375,75276400
2016-03-18,1570.2264948174507,1570.2264948174507,1543.2201423267327,1558.65234375,110007200
2016-03-21,1558.6525506080666,1574.0847540794334,1558.6525506080666,1566.36865234375,137365600
2016-03-22,1574.0846433176578,1593.3748962994919,1570.2265927212911,1589.516845703125,87624800
2016-03-23,1593.374687380907,1593.374687380907,1574.0844369283536,1581.800537109375,103693600
2016-03-24,1574.0845765204767,1593.3748286837179,1574.0845765204767,1577.942626953125,115484400
2016-03-28,1570.2267596905049,1577.942861703726,1547.0784536508415,1554.7945556640625,71154000
2016-03-29,1554.794583488913,1574.0848388671875,1543.2204302619484,1574.0848388671875,90892400
2016-03-30,1599.655304102506,1639.250732421875,1591.7362184386322,1639.250732421875,178441600
2016-03-31,1639.2506281287924,1643.2101707088136,1615.4933726486652,1631.33154296875,103862400
2016-04-01,1619.452987217667,1627.3720727297339,1571.9384741452661,1599.6552734375,60710400
2016-04-04,1599.6551858587993,1611.5338134765625,1595.6956433195448,1611.5338134765625,36848800
2016-04-05,1615.4935264495482,1647.1698701054218,1607.57444053558,1643.2103271484375,99461600
2016-04-06,1655.0889560193903,1655.0889560193903,1627.372155320501,1643.2103271484375,39915200
2016-04-07,1655.0887984488775,1655.0887984488775,1607.5742874886225,1631.33154296875,70107200
2016-04-08,1591.7360313144432,1599.655116047351,1548.1810652834508,1560.0596923828125,181048000
2016-04-11,1560.0596923828125,1560.0596923828125,1560.0596923828125,1560.0596923828125,0
2016-04-12,1508.5858671977257,1528.383581990347,1496.7072383221532,1512.54541015625,153933200
2016-04-13,1512.54541015625,1512.54541015625,1512.54541015625,1512.54541015625,0
2016-04-14,1512.54541015625,1512.54541015625,1512.54541015625,1512.54541015625,0
2016-04-15,1512.54541015625,1512.54541015625,1512.54541015625,1512.54541015625,0
2016-04-18,1512.54541015625,1512.54541015625,1512.54541015625,1512.54541015625,0
